study_id,cell_id,block_id,model,family,stage,layout_id,within_block_order,form,physical_goal_sign,prompt_id,prompt,prompt_sha256,environment_seed,effective_policy_seed,action_cap,status,fixture_sha256,runtime_sha256,time_map_sha256
SGW-01,LAT-P01-N3-I-POS,LAT-P01-N3,N3,LAT,P,LAT-P01,1,I,1,LAT-I-POS,Place the Rubik's cube so that the bowl is to the right of the Rubik's cube.,6ed00a80ed714a034daa682371ddf42c2e576e40ccc4345fa73053833b4e2d39,20260923,2026092201,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-P01-N3-D-POS,LAT-P01-N3,N3,LAT,P,LAT-P01,2,D,1,LAT-D-POS,Put the Rubik's cube to the left of the bowl.,7a9010154f1b73764e6fec767eff0563dfe95807babb6369e7cd6de60ec7aa92,20260923,2026092201,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-P01-N3-C-POS,LAT-P01-N3,N3,LAT,P,LAT-P01,3,C,1,LAT-C-POS,Place the Rubik's cube so that the Rubik's cube is to the left of the bowl.,0627baa29ac138ba59a7f8a9e19b78a31258b525c26545131047e39619e3215c,20260923,2026092201,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-P01-N3-C-NEG,LAT-P01-N3,N3,LAT,P,LAT-P01,4,C,-1,LAT-C-NEG,Place the Rubik's cube so that the Rubik's cube is to the right of the bowl.,7b8582cd1340a540266f361902a3790fdd972ad704cfc3140ec6948f33b8f301,20260923,2026092201,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-P01-N3-D-NEG,LAT-P01-N3,N3,LAT,P,LAT-P01,5,D,-1,LAT-D-NEG,Put the Rubik's cube to the right of the bowl.,61d9185096c89b210dc3e920914c889cf2292bed07f1265521658c5a5988e7f4,20260923,2026092201,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-P01-N3-I-NEG,LAT-P01-N3,N3,LAT,P,LAT-P01,6,I,-1,LAT-I-NEG,Place the Rubik's cube so that the bowl is to the left of the Rubik's cube.,3c36eb09d55cf3875d3d5e49abd4571bdedddb069b328fcb62abd08fc6a515b0,20260923,2026092201,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-P01-D1-I-POS,LAT-P01-D1,D1,LAT,P,LAT-P01,1,I,1,LAT-I-POS,Place the Rubik's cube so that the bowl is to the right of the Rubik's cube.,6ed00a80ed714a034daa682371ddf42c2e576e40ccc4345fa73053833b4e2d39,20260923,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-P01-D1-D-POS,LAT-P01-D1,D1,LAT,P,LAT-P01,2,D,1,LAT-D-POS,Put the Rubik's cube to the left of the bowl.,7a9010154f1b73764e6fec767eff0563dfe95807babb6369e7cd6de60ec7aa92,20260923,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-P01-D1-C-POS,LAT-P01-D1,D1,LAT,P,LAT-P01,3,C,1,LAT-C-POS,Place the Rubik's cube so that the Rubik's cube is to the left of the bowl.,0627baa29ac138ba59a7f8a9e19b78a31258b525c26545131047e39619e3215c,20260923,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-P01-D1-C-NEG,LAT-P01-D1,D1,LAT,P,LAT-P01,4,C,-1,LAT-C-NEG,Place the Rubik's cube so that the Rubik's cube is to the right of the bowl.,7b8582cd1340a540266f361902a3790fdd972ad704cfc3140ec6948f33b8f301,20260923,1140,450,PLANNED_NOT_RELEASED,,,
